OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13,48.515400000000000,-124.179900000000004,307.100000000000023,1.000000000000000,1.000000000000000,2019-01-29 0:00:00,2121,Aqua,MODIS,65,6.030000000000000,278.699999999999989,11.600000000000000,D,0
14,51.804099999999998,-123.102900000000005,307.699999999999989,1.200000000000000,1.100000000000000,2019-01-29 0:00:00,2122,Aqua,MODIS,43,6.030000000000000,268.100000000000023,17.300000000000001,D,0
15,51.674199999999999,-121.316400000000002,308.199999999999989,1.100000000000000,1.100000000000000,2019-02-02 0:00:00,540,Terra,MODIS,74,6.030000000000000,271.699999999999989,16.100000000000001,N,0
16,51.650900000000000,-121.449100000000001,337.100000000000023,1.900000000000000,1.300000000000000,2019-02-28 0:00:00,2135,Aqua,MODIS,85,6.030000000000000,271.300000000000011,112.400000000000006,D,0
17,51.654499999999999,-121.454800000000006,325.199999999999989,1.900000000000000,1.300000000000000,2019-02-28 0:00:00,2135,Aqua,MODIS,63,6.030000000000000,270.699999999999989,72.799999999999997,D,0
18,54.828400000000002,-128.780699999999996,310.100000000000023,1.600000000000000,1.200000000000000,2019-03-05 0:00:00,2154,Aqua,MODIS,57,6.030000000000000,274.600000000000023,28.199999999999999,D,0
19,55.975400000000000,-122.102999999999994,303.899999999999977,1.100000000000000,1.000000000000000,2019-03-15 0:00:00,535,Terra,MODIS,57,6.030000000000000,270.100000000000023,12.800000000000001,N,0
20,52.083700000000000,-122.187399999999997,308.000000000000000,1.200000000000000,1.100000000000000,2019-03-15 0:00:00,1906,Terra,MODIS,58,6.030000000000000,274.199999999999989,15.800000000000001,D,0
21,56.195599999999999,-120.939200000000000,306.300000000000011,1.000000000000000,1.000000000000000,2019-03-15 0:00:00,2053,Aqua,MODIS,55,6.030000000000000,275.199999999999989,11.600000000000000,D,0
22,52.409100000000002,-125.213499999999996,309.899999999999977,1.700000000000000,1.300000000000000,2019-03-17 0:00:00,2040,Aqua,MODIS,60,6.030000000000000,275.600000000000023,29.899999999999999,D,0
23,53.014899999999997,-124.699900000000000,314.000000000000000,1.600000000000000,1.200000000000000,2019-03-17 0:00:00,2040,Aqua,MODIS,65,6.030000000000000,276.500000000000000,31.600000000000001,D,0
24,54.766700000000000,-126.894700000000000,323.000000000000000,1.000000000000000,1.000000000000000,2019-03-18 0:00:00,606,Terra,MODIS,100,6.030000000000000,270.000000000000000,27.100000000000001,N,0
25,51.914400000000001,-121.168400000000005,305.399999999999977,1.200000000000000,1.100000000000000,2019-03-18 0:00:00,1936,Terra,MODIS,54,6.030000000000000,278.699999999999989,14.400000000000000,D,0
26,51.920800000000000,-121.878500000000003,302.000000000000000,1.200000000000000,1.100000000000000,2019-03-18 0:00:00,1936,Terra,MODIS,50,6.030000000000000,280.699999999999989,10.100000000000000,D,0
27,49.460999999999999,-120.663799999999995,307.300000000000011,1.400000000000000,1.200000000000000,2019-03-18 0:00:00,2122,Aqua,MODIS,61,6.030000000000000,280.600000000000023,17.399999999999999,D,0
28,52.149999999999999,-122.293199999999999,300.100000000000023,1.300000000000000,1.100000000000000,2019-03-18 0:00:00,2123,Aqua,MODIS,26,6.030000000000000,281.600000000000023,8.900000000000000,D,0
29,52.148000000000003,-122.313000000000002,311.899999999999977,1.300000000000000,1.100000000000000,2019-03-18 0:00:00,2123,Aqua,MODIS,68,6.030000000000000,282.600000000000023,19.699999999999999,D,0
30,53.014800000000001,-124.709199999999996,302.500000000000000,1.100000000000000,1.000000000000000,2019-03-18 0:00:00,2123,Aqua,MODIS,40,6.030000000000000,279.000000000000000,9.500000000000000,D,0
31,53.018999999999998,-124.700800000000001,305.699999999999989,2.300000000000000,1.500000000000000,2019-03-19 0:00:00,2019,Terra,MODIS,57,6.030000000000000,280.300000000000011,31.100000000000001,D,0
